Library                               Size (B)      Time_ns
OpenSSL_1_1_1_AES128GCM                     16        36352
OpenSSL_1_1_1_AES128GCM                     16        34550
OpenSSL_1_1_1_AES128GCM                     16        36918
OpenSSL_1_1_1_AES128GCM                     16        36231
OpenSSL_1_1_1_AES128GCM                     16        41944
OpenSSL_1_1_1_AES128GCM                     16        35543
OpenSSL_1_1_1_AES128GCM                     16        35196
OpenSSL_1_1_1_AES128GCM                     16        34955
OpenSSL_1_1_1_AES128GCM                     16        35650
OpenSSL_1_1_1_AES128GCM                     16        37481
OpenSSL_1_1_1_AES128GCM                     16        35424
OpenSSL_1_1_1_AES128GCM                     16        36671
OpenSSL_1_1_1_AES128GCM                     16        35239
OpenSSL_1_1_1_AES128GCM                     16        38178
OpenSSL_1_1_1_AES128GCM                     16        44721
OpenSSL_1_1_1_AES128GCM                     16        35786
OpenSSL_1_1_1_AES128GCM                     16        36635
OpenSSL_1_1_1_AES128GCM                     16        36341
OpenSSL_1_1_1_AES128GCM                     16        33872
OpenSSL_1_1_1_AES128GCM                     16        37912
OpenSSL_1_1_1_AES128GCM                     16        35390
OpenSSL_1_1_1_AES128GCM                     16        55153
OpenSSL_1_1_1_AES128GCM                     16        43113
OpenSSL_1_1_1_AES128GCM                     16        36962
OpenSSL_1_1_1_AES128GCM                     16        37703
OpenSSL_1_1_1_AES128GCM                     16        33609
OpenSSL_1_1_1_AES128GCM                     16        41712
OpenSSL_1_1_1_AES128GCM                     16        37208
OpenSSL_1_1_1_AES128GCM                     16        34954
OpenSSL_1_1_1_AES128GCM                     16        35946
OpenSSL_1_1_1_AES128GCM                     16        37808
OpenSSL_1_1_1_AES128GCM                     16        36948
OpenSSL_1_1_1_AES128GCM                     16        37868
OpenSSL_1_1_1_AES128GCM                     16        37561
OpenSSL_1_1_1_AES128GCM                     16        32194
OpenSSL_1_1_1_AES128GCM                     16        36260
OpenSSL_1_1_1_AES128GCM                     16        34290
OpenSSL_1_1_1_AES128GCM                     16        41556
OpenSSL_1_1_1_AES128GCM                     16        37461
OpenSSL_1_1_1_AES128GCM                     16        32936
OpenSSL_1_1_1_AES128GCM                     16        33998
OpenSSL_1_1_1_AES128GCM                     16        34177
OpenSSL_1_1_1_AES128GCM                     16        33980
OpenSSL_1_1_1_AES128GCM                     16        32250
OpenSSL_1_1_1_AES128GCM                     16        39831
OpenSSL_1_1_1_AES128GCM                     16        38995
OpenSSL_1_1_1_AES128GCM                     16        32126
OpenSSL_1_1_1_AES128GCM                     16        32843
OpenSSL_1_1_1_AES128GCM                     16        34335
OpenSSL_1_1_1_AES128GCM                     16        35118
OpenSSL_1_1_1_AES128GCM                     16        34329
OpenSSL_1_1_1_AES128GCM                     16        32454
OpenSSL_1_1_1_AES128GCM                     16        33663
OpenSSL_1_1_1_AES128GCM                     16        34267
OpenSSL_1_1_1_AES128GCM                     16        32765
OpenSSL_1_1_1_AES128GCM                     16        32713
OpenSSL_1_1_1_AES128GCM                     16        34945
OpenSSL_1_1_1_AES128GCM                     16        32667
OpenSSL_1_1_1_AES128GCM                     16        33180
OpenSSL_1_1_1_AES128GCM                     16        35569
OpenSSL_1_1_1_AES128GCM                     16        32609
OpenSSL_1_1_1_AES128GCM                     16        33218
OpenSSL_1_1_1_AES128GCM                     16        34415
OpenSSL_1_1_1_AES128GCM                     16        33310
OpenSSL_1_1_1_AES128GCM                     16        35837
OpenSSL_1_1_1_AES128GCM                     16        33827
OpenSSL_1_1_1_AES128GCM                     16        34639
OpenSSL_1_1_1_AES128GCM                     16        33201
OpenSSL_1_1_1_AES128GCM                     16        34711
OpenSSL_1_1_1_AES128GCM                     16        33527
OpenSSL_1_1_1_AES128GCM                     16        33241
OpenSSL_1_1_1_AES128GCM                     16        33509
OpenSSL_1_1_1_AES128GCM                     16        34794
OpenSSL_1_1_1_AES128GCM                     16        32513
OpenSSL_1_1_1_AES128GCM                     16        35127
OpenSSL_1_1_1_AES128GCM                     16        32129
OpenSSL_1_1_1_AES128GCM                     16        32246
OpenSSL_1_1_1_AES128GCM                     16        34854
OpenSSL_1_1_1_AES128GCM                     16        32735
OpenSSL_1_1_1_AES128GCM                     16        31908
OpenSSL_1_1_1_AES128GCM                     16        32688
OpenSSL_1_1_1_AES128GCM                     16        33898
OpenSSL_1_1_1_AES128GCM                     16        33458
OpenSSL_1_1_1_AES128GCM                     16        32885
OpenSSL_1_1_1_AES128GCM                     16        35069
OpenSSL_1_1_1_AES128GCM                     16        31823
OpenSSL_1_1_1_AES128GCM                     16        31720
OpenSSL_1_1_1_AES128GCM                     16        33739
OpenSSL_1_1_1_AES128GCM                     16        32742
OpenSSL_1_1_1_AES128GCM                     16        32435
OpenSSL_1_1_1_AES128GCM                     16        38839
OpenSSL_1_1_1_AES128GCM                     16        32955
OpenSSL_1_1_1_AES128GCM                     16        34998
OpenSSL_1_1_1_AES128GCM                     16        33595
OpenSSL_1_1_1_AES128GCM                     16        32125
OpenSSL_1_1_1_AES128GCM                     16        33361
OpenSSL_1_1_1_AES128GCM                     16        34506
OpenSSL_1_1_1_AES128GCM                     16        32602
OpenSSL_1_1_1_AES128GCM                     16        33699
OpenSSL_1_1_1_AES128GCM                     16        34535
OpenSSL_1_1_1_AES128GCM                     16        32076
OpenSSL_1_1_1_AES128GCM                     16        32965
OpenSSL_1_1_1_AES128GCM                     16        33361
OpenSSL_1_1_1_AES128GCM                     16        32179
OpenSSL_1_1_1_AES128GCM                     16        33907
OpenSSL_1_1_1_AES128GCM                     16        31939
OpenSSL_1_1_1_AES128GCM                     16        33381
OpenSSL_1_1_1_AES128GCM                     16        34587
OpenSSL_1_1_1_AES128GCM                     16        32441
OpenSSL_1_1_1_AES128GCM                     16        35148
OpenSSL_1_1_1_AES128GCM                     16        35544
OpenSSL_1_1_1_AES128GCM                     16        33717
OpenSSL_1_1_1_AES128GCM                     16        34840
OpenSSL_1_1_1_AES128GCM                     16        34839
OpenSSL_1_1_1_AES128GCM                     16        34511
OpenSSL_1_1_1_AES128GCM                     16        33951
OpenSSL_1_1_1_AES128GCM                     16        30793
OpenSSL_1_1_1_AES128GCM                     16        31421
OpenSSL_1_1_1_AES128GCM                     16        33703
OpenSSL_1_1_1_AES128GCM                     16        34443
OpenSSL_1_1_1_AES128GCM                     16        35050
OpenSSL_1_1_1_AES128GCM                     16        34778
OpenSSL_1_1_1_AES128GCM                     16        35115
OpenSSL_1_1_1_AES128GCM                     16        33103
OpenSSL_1_1_1_AES128GCM                     16        35694
OpenSSL_1_1_1_AES128GCM                     16        32730
OpenSSL_1_1_1_AES128GCM                     16        31994
OpenSSL_1_1_1_AES128GCM                     16        32678
OpenSSL_1_1_1_AES128GCM                     16        33766
OpenSSL_1_1_1_AES128GCM                     16        33033
OpenSSL_1_1_1_AES128GCM                     16        41137
OpenSSL_1_1_1_AES128GCM                     16        36100
OpenSSL_1_1_1_AES128GCM                     16        37900
OpenSSL_1_1_1_AES128GCM                     16        35598
OpenSSL_1_1_1_AES128GCM                     16        36900
OpenSSL_1_1_1_AES128GCM                     16        36929
OpenSSL_1_1_1_AES128GCM                     16        35571
OpenSSL_1_1_1_AES128GCM                     16        36827
OpenSSL_1_1_1_AES128GCM                     16        37167
OpenSSL_1_1_1_AES128GCM                     16        40246
OpenSSL_1_1_1_AES128GCM                     16        33243
OpenSSL_1_1_1_AES128GCM                     16        35202
OpenSSL_1_1_1_AES128GCM                     16        39935
OpenSSL_1_1_1_AES128GCM                     16        38098
OpenSSL_1_1_1_AES128GCM                     16        37447
OpenSSL_1_1_1_AES128GCM                     16        36051
OpenSSL_1_1_1_AES128GCM                     16        37217
OpenSSL_1_1_1_AES128GCM                     16        35958
OpenSSL_1_1_1_AES128GCM                     16        34586
OpenSSL_1_1_1_AES128GCM                     16        37388
OpenSSL_1_1_1_AES128GCM                     16        35366
OpenSSL_1_1_1_AES128GCM                     16        36868
OpenSSL_1_1_1_AES128GCM                     16        36750
OpenSSL_1_1_1_AES128GCM                     16        37638
OpenSSL_1_1_1_AES128GCM                     16        35229
OpenSSL_1_1_1_AES128GCM                     16        36353
OpenSSL_1_1_1_AES128GCM                     16        37856
OpenSSL_1_1_1_AES128GCM                     16        35258
OpenSSL_1_1_1_AES128GCM                     16        36344
OpenSSL_1_1_1_AES128GCM                     16        38349
OpenSSL_1_1_1_AES128GCM                     16        35478
OpenSSL_1_1_1_AES128GCM                     16        36138
OpenSSL_1_1_1_AES128GCM                     16        34567
